Reference ID | Name | Description | Alias Names | Business Logic | Critical Data Element | Examples | Format Type | Format Description | Lifecycle | Security Level | Classifications | Operation
PAY069 | Discount Amount | Amount of discount applied to the order. | Savings | Reduction in price. | TRUE | 2.00 | Decimal | Numeric | Draft | Low | Sales | create
PAY070 | Currency Symbol | Symbol representing the currency. | Monetary Symbol | e.g., $, €, £ | FALSE | $ | Text | Text | Draft | Low | International | create
PAY071 | Locale | Geographic region and language. | Regional Setting | Used for formatting currency and dates. | FALSE | en-US | Text | Text | Draft | Low | International | create
PAY072 | Payment Status | Status of the payment. | Transaction Status | Indicates whether the payment was successful, failed, or pending. | TRUE | Success | Text | Text | Draft | Medium | Transaction | create
PAY073 | Reason Code | Code indicating the reason for a payment failure. | Failure Code | Provides information about why a payment failed. | FALSE | DECLINED | Text | Text | Draft | Medium | Transaction | create
PAY074 | Response Code | Code returned by the payment gateway indicating the status of the transaction. | Gateway Response | Status indicator. | FALSE | 00 | Text | Text | Draft | Medium | Transaction | create
PAY075 | Settlement Currency | Currency in which the merchant receives payment. | Payout Currency | Currency for funds transfer. | TRUE | USD | Text | Text | Draft | Low | International | create
PAY076 | Exchange Rate | Rate used to convert one currency to another. | Conversion Rate | Used for cross-border transactions. | TRUE | 1.00 | Decimal | Numeric | Draft | Low | International | create
PAY077 | Reconciliation | Matching payments to orders and invoices. | Payment Matching | Ensuring all transactions are accounted for. | FALSE | [Reconciliation Status] | Text | Text | Draft | Low | Accounting | create
PAY078 | Batch ID | Unique identifier for a batch of transactions. | Batch Number | Used for settlement and reporting. | TRUE | BATCH123 | Text | Alphanumeric | Draft | Low | Financial | create
PAY079 | Merchant ID | Unique identifier for a merchant. | MID | Used by payment processors and banks to identify merchants. | TRUE | MERCH123 | Text | Alphanumeric | Draft | High | Financial | create
PAY080 | Acquirer | Financial institution that processes payments on behalf of merchants. | Acquiring Bank | The bank that receives funds from the customer's bank. | TRUE | [Acquirer Name] | Text | Text | Draft | Medium | Financial | create
PAY081 | Issuer | Financial institution that issued the payment card. | Issuing Bank | The bank that provides credit or debit cards to customers. | TRUE | [Issuer Name] | Text | Text | Draft | Medium | Financial | create
PAY082 | Card Expiry Date | Date the payment card expires. | Expiration Date | MM/YY format. | TRUE | 12/24 | Date | MM/YY | Draft | High | Financial | create
PAY083 | Cardholder Name | Name of the person who owns the payment card. | Name on Card | As it appears on the card. | TRUE | John Doe | Text | Text | Draft | High | Financial | create
PAY084 | Payment Description | Description of the payment. | Transaction Description | Used for record-keeping and customer statements. | FALSE | Online Purchase | Text | Text | Draft | Low | Audit | create
PAY085 | Refund ID | Unique identifier for a refund transaction. | Credit ID | Used to track refunds. | TRUE | REFUND123 | Text | Alphanumeric | Draft | Medium | Financial | create
PAY086 | Original Transaction ID | Transaction ID of the original payment. | Parent Transaction ID | Used to link refunds to the original payment. | TRUE | ABC123XYZ | Text | Alphanumeric | Draft | Medium | Audit | create
PAY087 | Dispute Amount | Amount of money in dispute. | Disputed Amount | The amount the customer is contesting. | TRUE | 50.00 | Decimal | Numeric | Draft | Medium | Legal | create
PAY088 | Dispute Reason | Reason for the dispute. | Chargeback Reason | Explanation for the dispute. | TRUE | Unauthorized Transaction | Text | Text | Draft | Medium | Legal | create
PAY089 | Dispute Resolution | Outcome of the dispute. | Chargeback Outcome | Resolved, Lost, Won | FALSE | Resolved | Text | Text | Draft | Medium | Legal | create
PAY090 | Statement Descriptor | Description that appears on the customer's credit card statement. | Merchant Name on Statement | Should be recognizable to the customer. | FALSE | Example Store | Text | Text | Draft | Low | Customer Service | create
PAY091 | Dynamic Currency Conversion (DCC) | Offering the customer the option to pay in their home currency. | Currency Choice | Conversion at the point of sale. | FALSE | [DCC Offered] | Text | Text | Draft | Low | International | create
PAY092 | Installment Payment | Payment plan where the total amount is divided into smaller, regular payments. | Payment Plan | Structured payment agreement | FALSE | [Installment Plan Details] | Text | Text | Draft | Medium | Financial | create
PAY093 | Minimum Payment | The smallest amount a customer can pay on their credit card bill. | Min Due | Required monthly payment | TRUE | 25.00 | Decimal | Numeric | Draft | Medium | Financial | create
PAY094 | Credit Limit | The maximum amount a customer can charge on their credit card. | Spending Limit | Card's upper spending bound | TRUE | 5000.00 | Decimal | Numeric | Draft | High | Financial | create
PAY095 | Available Credit | The amount of credit a customer has available on their credit card. | Remaining Credit | Spendable balance | TRUE | 4975.00 | Decimal | Numeric | Draft | High | Financial | create
PAY096 | Interest Rate | The percentage charged on outstanding credit card balances. | APR | Annual Percentage Rate | TRUE | 0.18 | Decimal | Numeric | Draft | High | Financial | create
PAY097 | Cashback Reward | A percentage of purchases returned to the customer as a reward. | Rewards | Card loyalty benefits | FALSE | 0.01 | Decimal | Numeric | Draft | Low | Marketing | create
PAY098 | Point-of-Sale (POS) | The location where a transaction occurs, usually a retail store. | Checkout | Transactional Venue | TRUE | [Store Location] | Text | Text | Draft | Medium | Sales | create
PAY099 | Card Present Transaction | A transaction where the physical card is used at the point of sale. | In-Person Payment | Card swiped or inserted into reader | FALSE | [Card Reader Type] | Text | Text | Draft | Medium | Sales | create
PAY100 | Card Not Present Transaction | A transaction where the physical card is not used, such as online or over the phone. | Remote Payment | Online purchase | FALSE | [Online Order Details] | Text | Text | Draft | Medium | Sales | create
